city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Řevnice,49.9140,14.2360,Czechia,CZ,Středočeský Kraj,,3570,3570
Zliv,49.0662,14.3661,Czechia,CZ,Jihočeský Kraj,,3562,3562
Lázně Bohdaneč,50.0756,15.6799,Czechia,CZ,Pardubický Kraj,,3543,3543
Suchdol nad Lužnicí,48.8934,14.8770,Czechia,CZ,Jihočeský Kraj,,3530,3530
Březnice,49.5577,13.9507,Czechia,CZ,Středočeský Kraj,,3520,3520
Štěpánov,49.6840,17.2205,Czechia,CZ,Olomoucký Kraj,,3516,3516
Libochovice,50.4063,14.0445,Czechia,CZ,Ústecký Kraj,,3506,3506
Město Albrechtice,50.1629,17.5749,Czechia,CZ,Moravskoslezský Kraj,,3499,3499
Buštěhrad,50.1560,14.1890,Czechia,CZ,Středočeský Kraj,,3498,3498
Velká Bystřice,49.5942,17.3640,Czechia,CZ,Olomoucký Kraj,,3493,3493
Kralovice,49.9820,13.4875,Czechia,CZ,Plzeňský Kraj,,3478,3478
Krásná Lípa,50.9131,14.5101,Czechia,CZ,Ústecký Kraj,,3471,3471
Štramberk,49.5918,18.1174,Czechia,CZ,Moravskoslezský Kraj,,3464,3464
Libčice nad Vltavou,50.1991,14.3628,Czechia,CZ,Středočeský Kraj,,3458,3458
Dobrovice,50.3694,14.9624,Czechia,CZ,Středočeský Kraj,,3421,3421
Libušín,50.1683,14.0547,Czechia,CZ,Středočeský Kraj,,3394,3394
Veverská Bítýška,49.2759,16.4369,Czechia,CZ,Jihomoravský Kraj,,3376,3376
Trmice,50.6429,13.9946,Czechia,CZ,Ústecký Kraj,,3364,3364
Hrušovany nad Jevišovkou,48.8299,16.4027,Czechia,CZ,Jihomoravský Kraj,,3339,3339
Staňkov,49.5536,13.0698,Czechia,CZ,Plzeňský Kraj,,3319,3319
Nová Bystřice,49.0193,15.1032,Czechia,CZ,Jihočeský Kraj,,3299,3299
Košťany,50.6552,13.7556,Czechia,CZ,Ústecký Kraj,,3210,3210
Sadská,50.1360,14.9864,Czechia,CZ,Středočeský Kraj,,3204,3204
Jablonné nad Orlicí,50.0297,16.6007,Czechia,CZ,Pardubický Kraj,,3149,3149
Velké Pavlovice,48.9047,16.8160,Czechia,CZ,Jihomoravský Kraj,,3140,3140
Žacléř,50.6633,15.9107,Czechia,CZ,Královéhradecký Kraj,,3136,3136
Chrast,49.9021,15.9340,Czechia,CZ,Pardubický Kraj,,3131,3131
Uhlířské Janovice,49.8803,15.0649,Czechia,CZ,Středočeský Kraj,,3118,3118
Ždírec nad Doubravkou,49.6960,15.8136,Czechia,CZ,Vysočina,,3112,3112
Břidličná,49.9117,17.3711,Czechia,CZ,Moravskoslezský Kraj,,3111,3111
Opočno,50.2675,16.1149,Czechia,CZ,Královéhradecký Kraj,,3107,3107
Hanušovice,50.0805,16.9365,Czechia,CZ,Olomoucký Kraj,,3104,3104
Desná,50.7599,15.3029,Czechia,CZ,Liberecký Kraj,,3084,3084
Velvary,50.2816,14.2362,Czechia,CZ,Středočeský Kraj,,3080,3080
Loket,50.1861,12.7541,Czechia,CZ,Karlovarský Kraj,,3075,3075
Třemošnice,49.8692,15.5801,Czechia,CZ,Pardubický Kraj,,3059,3059
Kaznějov,49.8932,13.3830,Czechia,CZ,Plzeňský Kraj,,3049,3049
Podivín,48.8256,16.8482,Czechia,CZ,Jihomoravský Kraj,,3019,3019
Volyně,49.1659,13.8863,Czechia,CZ,Jihočeský Kraj,,3014,3014
Rotava,50.2964,12.5735,Czechia,CZ,Karlovarský Kraj,,3006,3006
Miroslav,48.9477,16.3125,Czechia,CZ,Jihomoravský Kraj,,2990,2990
Rtyně v Podkrkonoší,50.5053,16.0720,Czechia,CZ,Královéhradecký Kraj,,2979,2979
Loštice,49.7447,16.9290,Czechia,CZ,Olomoucký Kraj,,2970,2970
Slušovice,49.2478,17.8015,Czechia,CZ,Zlínský Kraj,,2968,2968
Chvaletice,50.0345,15.4185,Czechia,CZ,Středočeský Kraj,,2962,2962
Hodkovice nad Mohelkou,50.6659,15.0900,Czechia,CZ,Liberecký Kraj,,2960,2960
Město,49.9820,12.8631,Czechia,CZ,Karlovarský Kraj,,2954,2954
Žirovnice,49.2532,15.1883,Czechia,CZ,Vysočina,,2944,2944
Morkovice-Slížany,49.2480,17.2078,Czechia,CZ,Zlínský Kraj,,2942,2942
